species,id,q,m,pre_ms,a,label,type,n,y
1,1,0.92,2,700.0,0.518518519,congruent_true,1,440,318
1,1,0.92,2,700.0,0.518518519,congruent_false,0,40,25
1,2,0.92,2,700.0,0.518518519,congruent_true,1,440,319
1,2,0.92,2,700.0,0.518518519,congruent_false,0,40,19
1,3,0.92,2,700.0,0.518518519,congruent_true,1,440,319
1,3,0.92,2,700.0,0.518518519,congruent_false,0,40,26
1,4,0.92,2,700.0,0.518518519,congruent_true,1,440,320
1,4,0.92,2,700.0,0.518518519,congruent_false,0,40,26
1,5,0.92,2,700.0,0.518518519,congruent_true,1,440,295
1,5,0.92,2,700.0,0.518518519,congruent_false,0,40,26
1,6,0.92,2,700.0,0.518518519,congruent_true,1,440,322
1,6,0.92,2,700.0,0.518518519,congruent_false,0,40,22
1,7,0.92,2,700.0,0.518518519,congruent_true,1,440,284
1,7,0.92,2,700.0,0.518518519,congruent_false,0,40,23
1,8,0.92,2,700.0,0.518518519,congruent_true,1,440,383
1,8,0.92,2,700.0,0.518518519,congruent_false,0,40,34
1,1,0.92,3,700.0,0.518518519,congruent_true,1,440,304
1,1,0.92,3,700.0,0.518518519,congruent_false,0,40,28
1,2,0.92,3,700.0,0.518518519,congruent_true,1,440,317
1,2,0.92,3,700.0,0.518518519,congruent_false,0,40,32
1,3,0.92,3,700.0,0.518518519,congruent_true,1,440,241
1,3,0.92,3,700.0,0.518518519,congruent_false,0,40,27
1,4,0.92,3,700.0,0.518518519,congruent_true,1,440,286
1,4,0.92,3,700.0,0.518518519,congruent_false,0,40,27
1,5,0.92,3,700.0,0.518518519,congruent_true,1,440,275
1,5,0.92,3,700.0,0.518518519,congruent_false,0,40,26
1,6,0.92,3,700.0,0.518518519,congruent_true,1,440,276
1,6,0.92,3,700.0,0.518518519,congruent_false,0,40,34
1,1,0.92,2,700.0,0.518518519,congruent_true,1,440,384
1,1,0.92,2,700.0,0.518518519,congruent_false,0,40,32
1,2,0.92,2,700.0,0.518518519,congruent_true,1,440,388
1,2,0.92,2,700.0,0.518518519,congruent_false,0,40,33
1,3,0.92,2,700.0,0.518518519,congruent_true,1,440,323
1,3,0.92,2,700.0,0.518518519,congruent_false,0,40,28
1,4,0.92,2,700.0,0.518518519,congruent_true,1,440,348
1,4,0.92,2,700.0,0.518518519,congruent_false,0,40,26
1,5,0.92,2,700.0,0.518518519,congruent_true,1,440,352
1,5,0.92,2,700.0,0.518518519,congruent_false,0,40,27
1,6,0.92,2,700.0,0.518518519,congruent_true,1,440,326
1,6,0.92,2,700.0,0.518518519,congruent_false,0,40,24
1,1,0.92,3,700.0,0.518518519,congruent_true,1,440,352
1,1,0.92,3,700.0,0.518518519,congruent_false,0,40,34
1,2,0.92,3,700.0,0.518518519,congruent_true,1,440,353
1,2,0.92,3,700.0,0.518518519,congruent_false,0,40,27
1,3,0.92,3,700.0,0.518518519,congruent_true,1,440,248
1,3,0.92,3,700.0,0.518518519,congruent_false,0,40,22
1,4,0.92,3,700.0,0.518518519,congruent_true,1,440,300
1,4,0.92,3,700.0,0.518518519,congruent_false,0,40,29
1,5,0.92,3,700.0,0.518518519,congruent_true,1,440,327
1,5,0.92,3,700.0,0.518518519,congruent_false,0,40,31
1,6,0.92,3,700.0,0.518518519,congruent_true,1,440,271
1,6,0.92,3,700.0,0.518518519,congruent_false,0,40,33
1,1,0.92,3,300.0,0.222222222,congruent_true,1,440,334
1,1,0.92,3,300.0,0.222222222,congruent_false,0,40,34
1,2,0.92,3,300.0,0.222222222,congruent_true,1,440,403
1,2,0.92,3,300.0,0.222222222,congruent_false,0,40,24
1,3,0.92,3,300.0,0.222222222,congruent_true,1,440,296
1,3,0.92,3,300.0,0.222222222,congruent_false,0,40,27
1,4,0.92,3,300.0,0.222222222,congruent_true,1,440,346
1,4,0.92,3,300.0,0.222222222,congruent_false,0,40,25
1,5,0.92,3,300.0,0.222222222,congruent_true,1,440,324
1,5,0.92,3,300.0,0.222222222,congruent_false,0,40,34
1,6,0.92,3,300.0,0.222222222,congruent_true,1,440,367
1,6,0.92,3,300.0,0.222222222,congruent_false,0,40,28
1,1,0.92,2,1100.0,0.814814815,congruent_true,1,440,346
1,1,0.92,2,1100.0,0.814814815,congruent_false,0,40,26
1,2,0.92,2,1100.0,0.814814815,congruent_true,1,440,306
1,2,0.92,2,1100.0,0.814814815,congruent_false,0,40,23
1,3,0.92,2,1100.0,0.814814815,congruent_true,1,440,356
1,3,0.92,2,1100.0,0.814814815,congruent_false,0,40,32
1,4,0.92,2,1100.0,0.814814815,congruent_true,1,440,271
1,4,0.92,2,1100.0,0.814814815,congruent_false,0,40,27
1,9,0.92,2,1100.0,0.814814815,congruent_true,1,440,266
1,9,0.92,2,1100.0,0.814814815,congruent_false,0,40,26
1,10,0.92,2,1100.0,0.814814815,congruent_true,1,440,380
1,10,0.92,2,1100.0,0.814814815,congruent_false,0,40,30
